Primary Attribute	Secondary Attribute	Skill Type	Skill Tier	Skill Name	Parent Skill	Definition
STR	N/A	standard	2	Sledge Impact	Burst Power	Specialization in delivering full-body or tool-assisted strikes with maximum momentum. Sledge Impact is not about speed—it’s about mass meeting motion. This skill is used when breaking through dense material, battering armor, or demolishing cover. It teaches how to brace for recoil and direct force cleanly into a target.
STR	N/A	standard	3	Over The Top Swing	Sledge Impact	A rotational strike or lift involving overhead momentum, often used with tools, beams, or improvised weapons. Over The Top Swing relies on coordinated timing of shoulders, spine, and arms to deliver crushing arcs. It’s used to breach cover, disable targets, or redistribute weight quickly. The swing doesn’t just land—it crashes.
STR	N/A	standard	3	Rebound Control	Sledge Impact	The art of managing reactive force after a strike or impact. Rebound Control is trained to prevent stumbles, drops, or unintended movement following high-force action. It’s especially valuable in confined areas, group lifts, or when wielding heavy tools. Skilled users absorb shock like it was never there.
STR	N/A	standard	3	Impact Follow Through	Sledge Impact	This skill extends momentum beyond initial contact—ensuring that strikes, lifts, or collisions finish with intent. Impact Follow Through prevents energy loss during critical moments, whether driving a ram, delivering a final blow, or throwing weight into a shove. It is not about stopping—it’s about pushing through the end of force.
STR	N/A	standard	1	Material Deformation	N/A	This skill represents the application of strength to reshape, distort, or break solid objects through raw force. Material Deformation is the foundation for feats like bending metal, cracking stone, or crushing containers. Practitioners understand how to apply pressure efficiently to force objects beyond their natural limits. It's a blend of patience, technique, and overwhelming strength.
STR	N/A	standard	2	Metal Bend	Material Deformation	Focused on the distortion of rigid metallic objects using pure physical pressure. Metal Bend is used to warp bars, twist frames, or unfasten hardened pieces without tools. It requires constant pressure applied with precision and awareness of weak points. Those who master it can reshape what others see as permanent.
STR	N/A	standard	3	Iron Rod Twist	Metal Bend	A specialized expression of rotational power applied to long, resistant objects. Iron Rod Twist is used to coil, snap, or spiral rigid rods through torque and grip strength. It is most often performed as a display of control over cold steel or structural materials. To twist iron is to show that resistance is negotiable.
STR	N/A	standard	3	Pry Bar Spread	Metal Bend	This skill focuses on leveraging force outward to split or open firmly locked or sealed spaces. Pry Bar Spread simulates the effect of prying open reinforced objects using nothing but raw arm and shoulder pressure. Practitioners learn to push outward while bracing the body for counterforce. It’s not about finesse—it’s about cracking the uncrackable.
STR	N/A	standard	3	Horshoe Crush	Metal Bend	A feat of compacted grip strength and sheer will, this skill enables the crushing or folding of ring-shaped metals and similar structures. Horseshoe Crush is often trained for performance, intimidation, or demonstration of dominant strength. It's one of the clearest visual signals of total hand control under resistance.
STR	N/A	standard	2	Stone Crack	Material Deformation	Trained application of strength to brittle or dense surfaces with the intent to fracture. Stone Crack is used to test walls, break rocks, or disrupt ancient structures during excavation. It relies on consistent pressure and the ability to sense where the stress lines lie. Power meets patience in this calculated art.
STR	N/A	standard	3	Chisel Strike	Stone Crack	Chisel Strike channels controlled bursts of force through a blunt or sharpened edge, often used to begin separation or weaken structures. It's trained for repeated, targeted impacts where precision and rhythm are more important than raw speed. The wielder becomes the hammer—and the strike becomes the solution.
STR	N/A	standard	3	Wedge Split	Stone Crack	A skill in driving a wedge—or acting as one—through an object to force a split. Wedge Split combines angled pressure with patient, escalating force. Practitioners can drive through beams, bone, or barricade given enough leverage. It’s strength used not to lift, but to divide.
STR	N/A	standard	3	Masonry Fracture	Stone Crack	Mastery of breaking through stonework using repeated strikes or leveraged force. Masonry Fracture is used when precision demolition or breach work is needed without explosives or tools. The character becomes the force that makes the wall fall. It is physical tenacity shaped like a battering mantra.
STR	N/A	standard	2	Press Crush	Material Deformation	The art of compressing objects between two limbs or surfaces with intense, slow pressure. Press Crush is trained to crush containers, armor, or bone through unyielding closing force. It’s as much about control as it is about power—pressing without shaking, destroying without slipping.
STR	N/A	standard	3	Container Crush	Press Crush	A refinement of Press Crush, this skill is focused on breaking enclosed objects such as chests, crates, or canisters. Container Crush is used when access is more important than preservation. The practitioner understands how to break through walls of resistance without needing tools. What’s sealed stays sealed—until you decide otherwise.
STR	N/A	standard	3	Panel Buckle	Press Crush	Specialized in applying force across wide, thin surfaces to cause bending or failure. Panel Buckle is used on gates, vehicle siding, or structural supports where a ripple effect of collapse is required. The user learns how to direct weight, angle, and bracing to fold materials inward or outward.
STR	N/A	standard	3	Vise Clamp	Press Crush	This skill represents the application of body or grip as a locking clamp to hold or crush objects between surfaces. Vise Clamp is used to immobilize, crush, or restrain items or enemies. It is often used in interrogation, restraint, or containment scenarios where escape is unacceptable. You don’t let go—because you are the vice.
STR	N/A	standard	1	Projection	N/A	The art of transferring strength into external motion—throwing, hurling, or launching with force and intent. Projection reflects your ability to shift weight from the body into a moving object. It is the foundation for all physical ranged applications, from tossing tools to throwing enemies. A well-trained throw doesn’t just move—it makes impact matter.
STR	N/A	standard	2	Distance Throw	Projection	This skill focuses on maximizing the range of thrown objects through perfect timing, explosive power, and release angle. Distance Throw is used when covering ground matters more than precision. From launching ropes to lobbing heavy objects, it’s about getting there fast and far. Your arm becomes a catapult.
STR	N/A	standard	3	Hammer Toss	Distance Throw	A rotational throw using core torque and shoulder control to launch a heavy object in a wide arc. Hammer Toss is ideal for weighted weapons, chained tools, or any object requiring spin to fly true. Practitioners understand how to build speed in motion before the final explosive release. The more it whirls, the farther it flies.
STR	N/A	standard	3	Caber Heave	Distance Throw	Based on ancient trials of might, this skill captures the upward-forward launch of tall or awkwardly shaped objects. Caber Heave prioritizes posture, grip shift, and explosive rise from the hips to control tumbling mass. It’s not just about throwing—it’s about launching chaos with intent.
STR	N/A	standard	3	Overhead Fling	Distance Throw	A direct vertical-to-arc throw initiated from above the shoulders. Overhead Fling is ideal when clearing walls, tossing onto roofs, or sending objects over obstacles. It requires stable footing and momentum control to prevent self-injury or loss of direction. Height becomes your weapon.
STR	N/A	standard	2	Accuracy Throw	Projection	This skill hones the ability to hit specific targets or land objects precisely where needed. Accuracy Throw combines strength with line-of-sight calculation, object balance, and fingertip control. It’s trained for delivering payloads, triggering mechanisms, or striking enemies with certainty. Where you aim, it lands.
STR	N/A	standard	3	Pinpoint Drop	Accuracy Throw	A precision throw used for short-range delivery, often from elevation or into confined spaces. Pinpoint Drop allows careful placement of tools, packages, or weight without damage or alert. It blends patience and control—more archery than brute toss. The right hand, at the right angle, at the right time.
STR	N/A	standard	3	Window Thread	Accuracy Throw	A throw trained to slip an object through tight gaps—windows, holes, cages, or between guards. Window Thread relies on posture adjustment, object rotation, and velocity tapering. Practitioners can bypass defenses or deliver aid in ways no other motion allows. It’s finesse cloaked in strength.
STR	N/A	standard	3	Center Mass Lob	Accuracy Throw	A heavy-targeted throw focused on delivering impact at the core of a person or object. Center Mass Lob sacrifices spin and flash for reliable, thudding contact. It’s used to unbalance enemies, knock down constructs, or distract at close-to-mid range. You don’t aim for flair—you aim for the middle and make it hurt.
STR	N/A	standard	2	Arc Control	Projection	Arc Control refines how objects travel after leaving the hand—predicting rise, fall, and curve. Practitioners train to hit moving targets or pass over defenses while adjusting for wind, spin, and weight. It is both science and instinct—throwing not just hard, but smart.
STR	N/A	standard	3	High Lobber	Arc Control	A lofted throw used to reach high platforms, towers, or skyward targets. High Lobber builds on Arc Control by maximizing hang time and vertical reach. Often trained in siege, supply drops, or long-range signaling, this skill ensures the throw crests before it crashes. It’s the art of lobbing upward—and making it count.
STR	N/A	standard	3	Skip Stone Arc	Arc Control	A technique for sending flat or rounded objects in a low, bouncing trajectory across a surface. Skip Stone Arc is trained for distraction, multipoint impact, or water-based delivery. It combines launch angle, spin, and surface reading into one smooth motion. A throw that dances before it hits.
STR	N/A	standard	3	Ricochet Planner	Arc Control	The mastery of bounce and deflection, Ricochet Planner allows throws to hit indirect targets via walls, ceilings, or angled surfaces. This is trick-throw territory—used to bypass shields, blind corners, or create diversions. With enough control, even a miss can become a hit.
STR	N/A	standard	1	Stability & Bracing	N/A	The core skill of rooting one’s body against shifting forces, impact, or uneven terrain. Stability & Bracing trains the use of posture, limb positioning, and muscle control to hold ground under stress. It enables power to be applied without losing footing or direction. Every motion becomes stronger when it begins from stillness.
STR	N/A	standard	2	Recoil Absorption	Stability & Bracing	Recoil Absorption allows the body to endure and redirect force without collapse. It is often used when firing large projectiles, catching heavy impacts, or standing through sudden shifts in pressure. Practitioners are trained to flex at the right joints and angles to dampen force like a living shock absorber. Absorbing doesn’t mean yielding—it means surviving.
STR	N/A	standard	3	Shot Kick Down	Recoil Absorption	This skill focuses on the immediate bracing required to neutralize violent backward kick or snap. Shot Kick Down is essential for wielding massive tools, firing siege weapons, or resisting explosive pressure. Users learn how to plant and drop weight mid-action to stop being moved. You don’t fly back—you lock in.
STR	N/A	standard	3	Blast Brace	Recoil Absorption	Blast Brace trains the body to anchor against forward or outward explosions of energy or debris. It is a reflexive stance taught to minimize displacement and protect vulnerable joints. The user becomes a wall, not a leaf. In the moment of blast, your footing decides who falls.
STR	N/A	standard	3	Force Recoil Mastery	Recoil Absorption	Mastery in the redirection of powerful rebound or blowback into usable counter-force. Force Recoil Mastery turns reaction into weapon—shifting energy from an enemy’s strike into your own return motion. It’s not just resistance—it’s repurposing. True control means nothing is wasted.
STR	N/A	standard	2	Counter-Pull	Stability & Bracing	A skill used when opposing forces threaten to drag or yank the user off balance. Counter-Pull trains grip anchoring, core tension, and offset alignment to resist directional pull. Whether holding onto a rope, a beast, or a collapsing platform—this skill keeps you where you chose to stand.
STR	N/A	standard	3	Tug Of War Anchor	Counter-Pull	This skill is the peak of being the last line in a pull-based challenge. Tug Of War Anchor turns the body into a fixed point, capable of holding against sustained force. Used in rescues, tethers, or contests of might, this technique is all about locking down while the world pulls. You don’t budge—you are the anchor.
STR	N/A	standard	3	Towline Hold	Counter-Pull	Designed for long-duration holds under constant directional strain, Towline Hold trains the body to handle progressive fatigue while maintaining grip and stance. It’s often used in transport, climbing, or rescue when constant force threatens to drag the user out of place. You become a living post—the line holds because you do.
STR	N/A	standard	3	Tension Anchor	Counter-Pull	Tension Anchor allows the user to maintain tension across multiple vectors without buckling. Used in crossbeam suspension, live hauling, or group-based load transfers, it enables precise distribution of pull through the whole frame. The strain is real—but so is your control.
STR	N/A	standard	2	Reactive Balance	Stability & Bracing	Reactive Balance trains the body to recover equilibrium after slips, shoves, or failed footing. It’s not just about preventing a fall—it’s about reclaiming position mid-motion. Practitioners learn how to drop weight, roll tension, or twist joints into new grounding. You may be moved, but you are never down.
STR	N/A	standard	3	Foot Lock Pivot	Reactive Balance	A technique used to pivot or twist under pressure without giving up base stability. Foot Lock Pivot is essential when shifting angles or redirection while bearing weight. It lets the user rotate with purpose—never dragged, never off center. Movement begins in the feet, and ends with control.
STR	N/A	standard	3	Wide Stance Plant	Reactive Balance	This skill widens the body’s base to resist toppling forces, sway, or imbalance. Wide Stance Plant is used when lifting above the head, holding a flank, or enduring environmental resistance. It turns a person into a platform—one that won’t be moved unless it chooses to move.
STR	N/A	standard	3	Dynamic Centering	Reactive Balance	The refined art of maintaining core alignment while in motion. Dynamic Centering ensures strength flows from the spine and hips no matter the action—lift, strike, pivot, or brace. Practitioners seem immune to stagger or sway. It’s not about standing still—it’s about staying centered even while moving.
STR	N/A	standard	1	Grip Mastery	N/A	Grip Mastery is the foundation of strength through the hands—training the muscles, tendons, and nerves for unmatched control. It allows for powerful holds, steady lifts, and secure grips in both calm and chaotic conditions. This skill affects every other form of manipulation, from weapons to climbing to restraint. A firm grasp isn’t just strength—it’s presence.
STR	N/A	standard	2	Crushing Grip	Grip Mastery	A specialization in applying overwhelming force through the hands to crush or disable. Crushing Grip is trained for snapping tools, bending bars, or neutralizing limbs. This is brute power focused into the fingers—meant to immobilize, destroy, or dominate through grip alone. A hold that tightens is a hold that ends things.
STR	N/A	standard	3	Bone Breaker Hold	Crushing Grip	The precision use of grip strength to manipulate joints, tendons, and pressure points for pain, damage, or submission. Bone Breaker Hold isn’t a grapple—it’s a verdict. It allows a fighter to disable or control without weapons, relying entirely on anatomical targeting and merciless grip force. One squeeze, and the struggle stops.
STR	N/A	standard	3	Two Finger Pinch	Crushing Grip	A feat of controlled strength and focus, this skill uses minimal contact—often just two fingers—to manipulate, lift, or restrain. Two Finger Pinch is practiced for traps, tools, delicate switches, or subtle pressure applications. Precision doesn’t mean weakness—sometimes less grip delivers more control.
STR	N/A	standard	3	Grip Burst	Crushing Grip	Grip Burst channels sudden explosive tension through the hands in one violent motion. It’s trained for snapping ropes, breaking restraints, or shocking opponents with unexpected strength. Unlike sustained holds, this is one moment of overwhelming force. When it goes off, it breaks things.
STR	N/A	standard	2	Endurance Grip	Grip Mastery	Endurance Grip trains the ability to maintain holds over long durations or extreme strain. Whether hanging, carrying, or climbing—this skill resists fatigue where others would fail. Practitioners develop layered grip control, shifting stress through muscles and joints like a living winch. You don’t drop until it’s over.
STR	N/A	standard	3	Rope Hang	Endurance Grip	This skill specializes in holding one’s full body weight from ropes, vines, or cables for prolonged time. Rope Hang trains shoulder and core assistance to extend grip duration. It’s used in climbing, suspensions, or descents where release means failure. It’s not just about not falling—it’s about never letting go.
STR	N/A	standard	3	Cliff Cling	Endurance Grip	A climbing-based skill used to maintain a grip on irregular, natural, or shifting surfaces. Cliff Cling focuses on finger placement, micro-adjustment, and breath control. It's not about strength alone—but endurance under strain in impossible angles. Practitioners hang where others slide.
STR	N/A	standard	3	Static Clamp	Endurance Grip	Static Clamp enables the body to freeze in position with unyielding grip for balance, restraint, or stealth. It's used to hold positions mid-climb, mid-lift, or mid-fight—without shifting or revealing motion. A single locked position becomes unshakable. This is the stillness that holds everything together.
STR	N/A	standard	2	Fine Torque	Grip Mastery	Fine Torque is the practice of applying subtle rotational force through the hands for mechanical or precision use. It’s used to twist, tighten, or align objects that require accuracy without over-application of strength. When a bolt must seal, a valve must adjust, or a mechanism must move just enough—this is the tool.
STR	N/A	standard	3	Valve Twist	Fine Torque	Valve Twist specializes in high-resistance rotational force over repetitive motion, especially on stiff or sealed devices. It’s trained for use in ventilation, hydraulics, or large mechanical objects where grip precision meets grunt force. The turn you make might save a life—or flood a chamber.
STR	N/A	standard	3	Fine Gear Tensioning	Fine Torque	A finesse-driven skill for adjusting the balance between tightness and function in gears, pulleys, or small load systems. Fine Gear Tensioning allows manual fine-tuning under pressure. Too loose, and it slips—too tight, and it breaks. This is where hand strength meets mechanic’s instinct.
STR	N/A	standard	3	Tension Locking	Fine Torque	This skill locks ropes, belts, clamps, or braces into a fixed position using tension and counterforce. Tension Locking is used in rapid-load scenarios or when a mechanism must hold despite movement or pull. You set it, tighten it, and make damn sure it doesn’t come loose.
DEX	N/A	standard	1	Agile Movement	N/A	Agile Movement is the foundation of responsive, fluid physical motion. It represents training in footwork, body control, and coordination across changing environments. Practitioners move with grace, adjust quickly, and reduce wasted motion. All advanced mobility techniques begin here.
DEX	N/A	standard	2	Climbing	Agile Movement	Climbing develops the body’s ability to ascend or maneuver vertically using arms, legs, and core alignment. It includes scaling natural surfaces, walls, and architectural structures. Practitioners learn grip discipline, route reading, and momentum control. When others stall, you keep rising.
DEX	N/A	standard	3	Free Ascent	Climbing	This skill focuses on unassisted climbing—without ropes, ladders, or gear. Free Ascent trains the mind and body to commit fully to vertical movement through calculated handholds and precise weight shifts. It’s raw motion against gravity, no safety net. Those who practice it don’t look down.
DEX	N/A	standard	3	Overhang Traverse	Climbing	Overhang Traverse specializes in moving across or beneath suspended surfaces like cave ceilings, ledges, or angled obstacles. It trains lateral weight balance, swing transition, and grip endurance. It’s not enough to climb—you have to hang, shift, and move while suspended.
DEX	N/A	standard	3	Rapid Descent	Climbing	The art of moving downward quickly without losing control or safety. Rapid Descent is trained for rope-free drops, angled slides, or climbing down under pressure. It’s not just falling with style—it’s calculated, committed descent with full-body braking.
DEX	N/A	standard	2	Parkour	Agile Movement	Parkour is the refined art of navigating obstacles through continuous motion. It includes vaulting, leaping, balancing, and redirecting momentum in tight or cluttered spaces. Practitioners view terrain as a pathway, not a barrier. This is speed without pause, motion without break.
DEX	N/A	standard	3	Wall Run	Parkour	Wall Run is the technique of using speed and foot placement to ascend vertical or angled walls briefly. It blends horizontal momentum with upward force to reach surfaces others can’t. This isn’t fantasy—it’s footwork, friction, and fearlessness.
DEX	N/A	standard	3	Gap Vault	Parkour	This skill focuses on transitioning over gaps using arms, legs, and torso in a unified burst. Gap Vault is used to clear fences, ledges, or roof spaces with fluid motion and a clean landing. It’s not about jumping farther—it’s about knowing exactly when and how to leap.
DEX	N/A	standard	3	Precision Landing	Parkour	The ability to land from jumps or falls with minimal noise, shock, or loss of balance. Precision Landing trains foot placement, muscle tension release, and momentum bleed. Whether from rooftop or stairwell, the descent ends where you choose.
DEX	N/A	standard	2	Evasion	Agile Movement	Evasion trains the body to avoid incoming danger through reactive movement. It includes ducking, diving, side-steps, rolls, and dodges—all trained under pressure. It’s not about escaping entirely—it’s about not being hit.
DEX	N/A	standard	3	Combat Roll	Evasion	Combat Roll enables the user to redirect force and reposition while under direct threat. It’s trained to escape grapples, cross short kill zones, or move under obstacles without exposing vital targets. Where others flinch—you flow.
DEX	N/A	standard	3	Quick Duck	Evasion	A reflexive drop of the torso to avoid incoming force or visual detection. Quick Duck is trained to occur within a breath—slipping under blades, limbs, or watchful eyes. Sometimes the best way to win is simply not being where the strike lands.
DEX	N/A	standard	3	Acrobatic Flip	Evasion	A dynamic movement technique that turns evasion into opportunity. Acrobatic Flip includes flips, twists, and spinning recoveries used to reposition, disorient, or escape. While flashy, it is also efficient—redirecting threat momentum into unexpected space.
DEX	N/A	standard	1	Close-Quarters Fundamentals	N/A	This skill represents basic unarmed combat training—stance, guard, and simple strikes. It focuses on staying balanced while moving, keeping hands where they can protect and attack, and reading an opponent’s intent at arm’s reach. Those trained in Close-Quarters Fundamentals don’t flail; every motion has a purpose, even when brawling turns ugly.
DEX	N/A	standard	2	Combat Footwork	Close-Quarters Fundamentals	The art of moving the body before the blow ever lands. Combat Footwork trains step placement, weight shifts, and angles of approach so a fighter is rarely where the enemy expects. Practitioners flow around force instead of meeting it head-on, turning tight spaces into a personal arena.
DEX	N/A	standard	2	Guard Structure	Close-Quarters Fundamentals	This skill refines how the hands, arms, and torso form a living shield. Guard Structure emphasizes efficient blocks, tight guard positions, and quick resets between offense and defense. It keeps the fighter covered without wasting motion—every inch between strike and guard is measured.
DEX	N/A	standard	2	Strike Timing	Close-Quarters Fundamentals	Focused on when to strike rather than just how. Strike Timing trains the ability to read openings, slip between an opponent’s motions, and punish hesitation. Those with this skill make even simple blows land like perfect answers to every mistake.
DEX	N/A	standard	3	Pivot Step	Combat Footwork	This skill refines the spin and turn of the feet to slide around incoming attacks. Pivot Step lets a fighter rotate around a planted foot to change facing, evade linear strikes, or line up an opponent’s blind side without losing balance. It’s the difference between getting hit and simply not being there.
DEX	N/A	standard	3	Off-Line Advance	Combat Footwork	Instead of charging straight in, this skill teaches angled steps that slip past the center of an enemy’s attack. Off-Line Advance lets a fighter close distance while drifting to safer lines, setting up flanks, throws, or counters. It feels like walking sideways through danger and coming out ahead.
DEX	N/A	standard	3	Retreat & Re-Entry	Combat Footwork	The practiced dance of yielding ground without ceding control. Retreat & Re-Entry focuses on controlled backsteps, quick guard checks, and sudden surges back into range. When done well, an opponent thinks you’re fleeing—right up until you’re already in their space again.
DEX	N/A	standard	3	High–Low Guard Shift	Guard Structure	This skill trains rapid changes between protecting the head, torso, and legs. High–Low Guard Shift minimizes gaps when an opponent mixes levels—hooks, body shots, sweeps, and knees. Practitioners learn to flow their guard instead of chasing each strike.
DEX	N/A	standard	3	Deflecting Blocks	Guard Structure	Rather than meeting blows head-on, Deflecting Blocks guides strikes away with small angled motions. This reduces impact, opens counter-lines, and keeps the fighter’s frame intact over long exchanges. The best users make heavy hits slide off like they were never meant to land.
DEX	N/A	standard	3	Clinch Entry	Guard Structure	Clinch Entry teaches how to close into gripping range without eating a clean strike. It focuses on hand-checks, arm ties, and head position that smother an opponent’s offense. Once inside, the fighter can hold, turn, or feed the foe into a wall, ally, or the ground.
DEX	N/A	standard	3	Feint & Draw	Strike Timing	This skill turns deception into a weapon. Feint & Draw teaches subtle false openings and half-committed strikes that provoke a reaction, exposing the real target. It’s a patient art—bait the mistake, then punish it.
DEX	N/A	standard	3	Interrupting Jab	Strike Timing	Focused on quick, sharp strikes that break an opponent’s rhythm before they can commit. Interrupting Jab tags advancing foes, spoils wind-ups, and resets their confidence. It doesn’t need to be powerful—just perfectly placed and perfectly timed.
DEX	N/A	standard	3	Follow-Through Chain	Strike Timing	This skill trains linking blows together so that one hit naturally feeds the next. Follow-Through Chain reduces wasted recovery, allowing a fighter to flood an opening with controlled strikes. It’s not wild flurrying—it’s a planned cascade that ends the moment the job is done.
DEX	N/A	standard	1	Stealth	N/A	Stealth is the core practice of remaining unseen, unheard, and unnoticed in hostile or sensitive environments. It encompasses posture, breath, balance, and awareness of surroundings. Practitioners know when to move—and more importantly, when not to. True stealth is presence reduced to shadow.
DEX	N/A	standard	2	Silent Movement	Stealth	Silent Movement is the art of traversing space without producing sound. It trains weight distribution, footfall placement, and ambient noise masking. Whether indoors, outdoors, or across unstable terrain, your steps leave no echo. Sound is a footprint—you leave none.
DEX	N/A	standard	3	Soft Footfall	Silent Movement	This skill sharpens the physical discipline of minimizing noise with every step. Soft Footfall is essential for close-quarter infiltration, stalking, or movement on fragile surfaces. It’s not just about going quiet—it’s about being unheard even in total silence.
