Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Infernal Maelstrom	Fire	High Master	82	41	Medium (60 ft)	Sphere/Zone (30 ft)	2 Combat Rounds + Lingering	Deals 4 fire damage per round; Control effects include Pull (10 ft each step) and Knockdown on failed saves; lingering flames cause 2 extra damage after spell ends.	I. AoE (2 Mana) → Damage (12 Mana for 4 points) II. Control (2 Mana) → Pull (3 Mana) + Knockdown (4 Mana)	Range: Medium (5 Mana), Shape: Sphere/Zone (9 Mana), Duration: 2 Combat Rounds (10 Mana) + Lingering (2 Mana), Scaling intensity (33 Mana)	--	• Creates a sustained vortex of flame that moves objects and terrain debris. • Pull effect can drag flying creatures from the sky. • Risk of suffocation from heat and smoke. • Lingering fire zones can cut off escape paths. • Environmental devastation can spread if uncontrolled.	A spiraling inferno tears across the field, dragging foes into a roaring vortex of living flame.	--
Worldfire Convergence	Fire	Grand Master	162	81	Line of Sight	Sphere/Zone (150 ft)	3 Combat Rounds + Lingering	All targets inside take 10 fire damage per round; Nested Temporal/Spatial container inside AoE imposes Decelerate (-2 initiative steps); Separate Control container inflicts Grapple/Restrain and Anchor/Lock on targets near the edges, pulling them inward.	I. AoE (2 Mana) → Damage (30 Mana for 10 points) + Nested Temporal/Spatial (5 Mana) → Control: Decelerate (8 Mana for -2 steps) II. Control (2 Mana) → Grapple/Restrain (4 Mana) + Anchor/Lock (6 Mana) III. Target (1 Mana) → Damage (3 Mana) (focused dart of fire at caster’s choice)	Range: Line of Sight (10 Mana), Shape: Sphere/Zone (25 Mana), Duration: 3 Combat Rounds (15 Mana) + Lingering (2 Mana), Scaling (59 Mana)	Backlash Risk (-5 Mana)	The spell leaves entire landscapes scarred for centuries. • Grappled targets pulled inward risk being immolated instantly. • Slowed initiative makes escape nearly impossible. • Allies risk capture if inside radius. • Caster must pass backlash save or collapse into unconsciousness. • Known as a “world-ender” spell in lore.	The world itself ignites, time slows, and chains of flame drag all things into the burning heart of oblivion.	--
Stone Pebble	Earth	Apprentice	10	5	Melee Reach (5–10 ft)	--	Instantaneous	Deals 1 point of blunt damage with a magically propelled stone.	I. Target (1 Mana) → Damage (3 Mana)	Range: Melee Reach (3 Mana)	Progressive Spell (3 Mana)	• Base spell deals minor damage and can chip or distract foes. • Narratively useful for training or intimidation. • Damage type = blunt, environmental.	A flicked stone becomes a weapon—and, in time, a cataclysm.	Apprentice: 1 damage pebble, Melee Reach (5–10 ft). Novice: +Per Success scaling; 1 damage per success, range increases to Short (30 ft). Master: Stone Barrage; Multi-Target up to 3, each hit 2 damage, range increases to Medium (60 ft). High Master: Boulder impact; AoE Radius (10 ft), 3 damage per target, may knock foes prone, range increases to Long (120 ft). Grand Master: Meteor stones; AoE Sphere (30 ft), 5 damage per target, terrain shatters on impact, usable at Line of Sight.
Earthen Grip	Earth	Apprentice	7	4	Melee Reach	--	Combat Step	Restricts target’s movement for 1 step.	Control (2) → Grapple/Restrain (4)	Range: Melee Reach (3), Duration: Combat Step (2)	--	• Works only on solid ground (not ice, sand, or liquid). • Targets may break free with sufficient strength. • Commonly used to stall attackers closing into melee.	Hands of soil clutch tight, dragging the reckless to stillness.	--
Stone Skin	Earth	Apprentice	8	4	Self	--	Combat Round	Provides +1 armor/soak against physical attacks for 1 round.	Target (1) → Buff (2)	Range: Self (1), Duration: Combat Round (5)	--	• Stone skin is visibly brittle, cracking when struck. • Reduces flexibility and agility slightly. • Crumbles into dust when the duration ends.	The caster’s flesh takes on the weight of mountains, for a moment as enduring as stone.	--
Stone Spikes	Earth	Novice	13	7	Short (30 ft)	Line (30 ft)	Instantaneous	Deals 1 point of piercing damage per target in the line.	I. AoE (2 Mana) → Damage (3 Mana)	Range: Short (4 Mana), Shape: Line (3 Mana), Duration: Instantaneous (1 Mana)	--	• Spikes remain as terrain hazards. • Damage type = piercing, environmental. • Targets may attempt save to avoid prone condition.	Lines of jagged earth tear upward, turning ground into a deadly hazard.	--
Earthen Grasp	Earth	Novice	12	6	Short (30 ft)	--	Combat Step	Restrains a single target for 1 combat step.	I. Control (2 Mana) → Grapple/Restrain (4 Mana)	Range: Short (4 Mana), Duration: Combat Step (2 Mana)	--	• Target is restrained for 1 step. • Opposed roll may allow escape. • Concentration required to sustain beyond base duration.	The earth itself clutches, dragging foes to stillness.	--
Rock Armor	Earth	Novice	13	7	Self	--	Combat Round	Grants +3 Soak for duration.	I. Target (1 Mana) → Buff (+3 Soak, 6 Mana)	Range: Self (1 Mana), Duration: Combat Round (5 Mana)	--	• Armor is cumbersome; caster’s movement halved. • Provides resistance to piercing and slashing damage. • Cannot be stacked with other Buff-type armor spells.	The ground itself rises to shield the mage in a carapace of stone.	--
Stone Spire	Earth	Master	27	14	Medium (60 ft)	--	Instantaneous	Deals 4 points of piercing/blunt damage and creates a 10 ft high spire of stone at target location.	I. Target (1 Mana) → Damage (12 Mana, 4 points) II. Control (2 Mana) → Immobilize (6 Mana)	Range: Medium (5 Mana)	--	• Targets hit may be impaled, requiring a save to avoid critical injury. • Terrain is altered; spire provides half-cover for 1 round. • Immobilize effect pins creature if spire erupts directly beneath them. • Caster may use spire as anchor point for future spells (G.O.D discretion).	The earth screams upward in defiance, raising a stone fang from the soil.	--
Earthen Grasp	Earth	Master	30	15	Medium (60 ft)	--	Combat Round	Restrains a single target and deals 2 points of crushing damage each round for the duration.	I. Control (2 Mana) → Grapple/Restrain (4 Mana) + Damage (6 Mana, 2 pts) II. Target (1 Mana)	Range: Medium (5 Mana) Duration: Combat Round (5 Mana)	--	• Target is restrained, immobilized for the duration unless they succeed a Strength save. • Deals 2 damage each round while grasp holds. • Hands remain for 1 round, fading back into earth afterward. • Terrain at the spot is left rough and unstable.	Stone clenches like a giant fist, crushing flesh and bone with patient inevitability.	--
Stone Maelstrom	Earth	Master	29	15	Medium (60 ft)	Radius (20 ft)	Combat Round	Deals 3 damage to all creatures within a 20 ft radius. Creatures caught inside must save vs. Strength or be knocked prone. Creates difficult terrain that persists briefly after the storm ends.	I. AoE (2 Mana) → Damage (9 Mana) II. Control (2 Mana) → Knockdown (4 Mana)	Range: Medium (5 Mana), Shape: Radius 20 ft (5 Mana), Duration: Combat Round (5 Mana)	Environmental Dependency (–3 Mana)	• Deals 3 blunt/piercing damage per creature in radius. • Knockdown save required for all creatures caught inside. • Difficult terrain persists 1 round after spell ends. • Cannot be cast without a solid earthen/stone surface. • Vision obscured inside the maelstrom.	The ground itself rises in fury, shredding foes in a storm of stone.	--
Continental Rift	Earth	High Master	72	36	Long (120 ft)	Line (60 ft)	Combat Round	Deals 5 damage to all creatures caught in the fissure line. Targets must save vs. Dexterity or fall prone into the rift, suffering an additional 2 damage and becoming restrained until freed.	I. AoE (2 Mana) → Damage (15 Mana for 5 damage) II. Control (2 Mana) → Restrain (4 Mana)	Range: Long (7 Mana), Shape: Line 60 ft (3 +6 = 9 Mana), Duration: Combat Round (5 Mana)	Backlash Risk (–5 Mana); Environmental Dependency (–3 Mana)	• Rift creates a 10 ft wide chasm along its path that persists until magically repaired. • Collapsing ground counts as difficult terrain for all. • Failed saves drag creatures into the rift, restraining them. • Casting failure risks collapse of ground beneath caster. • Structures caught in line automatically take 10 structural damage.	The land itself revolts, splitting open with unstoppable force.	--
Avalanche	Earth	High Master	68	34	Long (120 ft)	Wall (60 ft)	Combat Round	Deals 4 damage to all creatures within the avalanche path. Targets must save vs. Strength or be buried, suffering 1 additional damage per round until freed.	I. AoE (2 Mana) → Damage (12 Mana for 4 damage) II. Control (2 Mana) → Immobilize (6 Mana)	Range: Long (7 Mana), Shape: Wall 60 ft (4 +4 = 8 Mana), Duration: Combat Round (5 Mana)	Environmental Dependency (–3 Mana)	• Avalanche buries terrain in debris, making affected zones difficult terrain. • Buried creatures restrained until allies free them. • Structures struck collapse without magical reinforcement. • Requires a mountainside, cliff, or large rock mass to trigger. • Environmental devastation can alter local geography.	A wave of the mountain itself surges downward, unstoppable and absolute.	--
Worldshaper’s Bastion	Earth	Grand Master	112	56	Line of Sight	Zone (300 ft)	Lingering (3 rounds)	Summons a massive fortress-like structure of stone that shields allies and imprisons foes. Within its walls, enemies suffer 4 damage per round from crushing stone pressure while allies gain +4 defense. Terrain permanently altered.	I. AoE (2 Mana) → Summon (major, 15 Mana) + Create/Destroy (major, 12 Mana)  Nested Container: Control (2 Mana) → Immobilize (6 Mana) + Damage (12 Mana for 4 damage)	Range: Line of Sight (10 Mana), Shape: Zone 300 ft (5 +15 = 20 Mana), Duration: Lingering 3 rounds (2+2+2 = 6 Mana)	Backlash Risk (–5 Mana); Concentration (–2 Mana)	• Allies inside gain +4 Defense as walls shield them. • Enemies caught inside must save vs. Strength or be immobilized, taking 4 crushing damage per round. • Terrain is permanently reshaped into fortress structures unless dispelled. • If the caster loses concentration, the Bastion collapses violently, dealing 6 damage to all inside. • Casting this spell drains the caster physically, leaving 1 permanent Constitution loss. • Structures created can serve as real fortifications after combat.	A citadel of stone rises in an instant, the world itself bowing to the caster’s command.	--
Gust of Renewal	Wind	Apprentice (Progressive)	10	5	Self (emanates outward)	--	Instantaneous	Shoves a single adjacent target 10 ft; clears smoke, dust, or small flames.	I. Control (2 Mana) → Push (3 Mana)	Range: Self (1 Mana); Duration: Instantaneous (1 Mana)	Progressive Spell (3 Mana)	• Cannot move targets larger/heavier than the caster at Apprentice. • Clears only light materials at this tier.	The breath of the world, focused into your hand.	Apprentice: Push 1 adjacent target 10 ft; clears light debris/smoke. • Novice: Push up to 2 targets (Multi-Target +3), shove extends to 20 ft; disperses fog/obscurants. • Master: Cone (30 ft; +3 Mana base +2 per 10 ft), knockdown check required, can disrupt projectiles. • High Master: 60 ft cone or 40 ft radius burst, hurls medium creatures, imposes –10% accuracy penalty, extinguishes fires. • Grand Master: Tornado-force blast (120 ft cone or 100 ft radius), uproots trees/structures, launches large creatures, battlefield-wide visibility disruption.
Cutting Draft	Wind	Apprentice	8	4	Short (30 ft)	--	--	Deals 1 point of slashing damage to a single target; may sever rope, parchment, or other fragile bindings.	I. Target (1 Mana) → Damage (3 Mana)	Range: Short (4 Mana)	--	• Damage is superficial unless enhanced by other effects. • Cannot cut metal, bone, or hardened armor. • G.O.D may allow automatic severing of loose cords or light fabric.	The air itself sharpens to your will.	--
Air Needle	Wind	Apprentice	8	4	Short (30 ft)	--	--	Deals 1 point of slashing (wind) damage to a single target; may sever light bindings (rope, fabric, parchment).	I. Target (1 Mana) → Damage (3 Mana)	Range: Short (4 Mana)	--	• Cannot cut metal or hardened armor. • If used to sever, G.O.D adjudicates thickness/quality of material.	The edge of the wind is the edge of will.	--
Suffocating Grasp	Wind	Novice	14	7	Short (30 ft)	--	Combat Step	Target loses breath: immobilized for 1 step, may panic or drop held items.	I. Control (2 Mana) → Immobilize (6 Mana)	Range: Short (4 Mana); Duration: Combat Step (2 Mana)	--	• Target resists with Constitution or Willpower (G.O.D discretion). • Does not deal direct damage, but may stagger or drop items. • Ineffective against constructs/undead.	The air in your lungs belongs to me.	--
Wind Step	Wind	Novice	11	6	Self	--	Combat Step	Caster surges up to 20 ft in a straight line and gains +1 Initiative step this round.	I. Target (1 Mana) → Accelerate / Hasten (4 Mana)	Range: Self (1 Mana); Duration: Combat Step (2 Mana); Movement Boost (3 Mana)	--	• Movement must be along a clear path; cannot pass through barriers. • Treated as enhanced dash, not teleportation. • If restrained, spell fails.	To run with the wind is to outrun fate itself.	--
Whispering Zephyr	Wind	Novice	15	8	Medium (60 ft)	--	Combat Round	Carry one short verbal message to chosen target within range.	I. Target (1 Mana) → Illusion / Mask (4 Mana)	Range: Medium (5 Mana); Duration: Combat Round (5 Mana)	--	• Message limited to ~10 words. • Cannot pass through airtight barriers. • May be overheard if intercepted by magical detection.	Every breeze has a secret to tell.	--
Cyclone Prison	Wind	Master	32	16	Medium (60 ft)	Sphere/Cube Zone (20 ft radius)	Combat Round (renewable)	Enemies are restrained in swirling wind, take 2 points damage per round, movement halved.	I. AoE (2 Mana) → Control (2 Mana) → Grapple/Restrain (4 Mana) + Damage (6 Mana)	Range: Medium (5 Mana); Shape: Sphere Zone (8 Mana); Duration: Combat Round (5 Mana)	--	• Affected creatures may attempt Strength or Will saves each round to escape. • Severe weather amplifies damage. • Can extinguish flames within the zone. • May scatter missiles/arrows passing through.	A cage woven of storm, tighter with every breath.	--
Suffocating Dome	Wind	Master	39	20	Medium (60 ft)	Sphere Zone (30 ft radius)	Combat Round	A dome of still air removes breath: targets inside begin suffocating, lose ability to speak, and take 1 vitality damage per round.	I. AoE (2 Mana) → Control (2 Mana) → Silence (5 Mana) + Immobilize (6 Mana) + Damage (3 Mana)	Range: Medium (5 Mana); Shape: Sphere Zone (11 Mana); Duration: Combat Round (5 Mana)	--	• Each round, creatures must save vs Constitution or gain 1 fatigue. • Verbal spellcasting is impossible within the dome. • Fires are immediately extinguished inside. • At dome’s collapse, air rushes back violently, possibly staggering creatures (G.O.D discretion).	In stillness, even the wind denies your breath.	--
Tempest Barrage	Wind	Master	48	24	Long (120 ft)	Cone (60 ft)	Combat Round	A cone of cutting wind and storm: 3 points damage per target, chance to knockdown, minor electrical burns.	I. AoE (2 Mana) → Damage (9 Mana) + Control: Knockdown (4 Mana)	Range: Long (7 Mana); Shape: Cone (9 Mana); Duration: Combat Round (5 Mana); Elemental Fusion Modifier (Air+Lightning) (12 Mana)	--	• Targets must save vs Knockdown each round. • Storm noise imposes –5% accuracy penalty on all inside. • Arcs may ignite or damage exposed materials. • Flight in cone becomes near-impossible.	The storm is not called—it is unleashed.	--
Storm Nexus	Wind	High Master	72	36	Medium (60 ft)	Sphere Zone (30 ft radius)	2 Combat Rounds	A swirling storm that deals 3 damage per round, imposes knockdown checks, and inflicts –10% accuracy.	I. AoE (2 Mana) → Container: Control (2 Mana) → Knockdown (4 Mana) + Damage (9 Mana) → Nested Container: Temporal/Spatial (5 Mana) + Spatial Bubble (8 Mana)	Range: Medium (5 Mana); Shape: Sphere Zone (11 Mana); Duration: 2 Combat Rounds (10 Mana)	Backlash Risk (–5 Mana)	• All creatures inside must test each round to resist knockdown. • Lightning arcs may ignite flammables or strike metal armor. • Visibility reduced to 10 ft. • Allies and caster are not immune unless protected. • Backlash may shock the caster on a failed concentration check.	To call the storm is to wager your soul against the sky.	--
Storm Nexus	Wind	High Master	72	36	Medium (60 ft)	Sphere Zone (30 ft radius)	2 Combat Rounds	A swirling storm that deals 3 damage per round, imposes knockdown checks, and inflicts –10% accuracy.	I. AoE (2 Mana) → Container: Control (2 Mana) → Knockdown (4 Mana) + Damage (9 Mana) → Nested Container: Temporal/Spatial (5 Mana) + Spatial Bubble (8 Mana)	Range: Medium (5 Mana); Shape: Sphere Zone (11 Mana); Duration: 2 Combat Rounds (10 Mana)	Backlash Risk (–5 Mana)	• All creatures inside must test each round to resist knockdown. • Lightning arcs may ignite flammables or strike metal armor. • Visibility reduced to 10 ft. • Allies and caster are not immune unless protected. • Backlash may shock the caster on a failed concentration check.	To call the storm is to wager your soul against the sky.	--
Worldstorm	Wind	Grand Master	129	65	Line of Sight	Sphere Zone (1-mile radius)	3 Combat Rounds + Lingering (10 steps)	A reality-rending storm that reshapes terrain, scatters armies, and devastates all within. Deals 5 damage per round, knocks creatures prone, imposes fatigue, and alters environment permanently.	I. Temporal/Spatial (5 Mana) → Create/Destroy Major (12 Mana) → Nested: AoE (2 Mana) + Damage (15 Mana) → Nested: Control (2 Mana) + Knockdown (4 Mana) + Debuff (6 Mana)	Range: Line of Sight (10 Mana); Shape: Sphere Zone (20 Mana); Duration: 3 Combat Rounds (15 Mana) + Lingering (10 Mana)	Backlash Risk (–5 Mana); Concentration Required (–2 Mana)	• All creatures in zone must save each round vs Knockdown. • 5 vitality damage per round from debris and storm surge. • Terrain altered permanently: rivers flood, structures collapse. • Fires extinguished, new hazards (floods, rubble) created. • Flight is impossible in storm. • Aftereffects linger for weeks or more. • Caster must test Willpower each round or suffer backlash lightning. • G.O.D encouraged to enforce lasting environmental/lore consequences.	The storm does not come—you become the storm.	--
Aqua Lash	Water	Apprentice (Progressive)	10	5	Touch	Single Target	Instantaneous	Deals 1 point of water/impact damage on touch; may douse small flames.	I. Target (1 Mana) → Damage (3 Mana)	Range: Touch (2 Mana); Duration: Instantaneous (1 Mana)	Progressive Spell (3 Mana)	Extinguishes candles/small flames on contact; surfaces become damp/slippery at G.O.D. discretion; resistance/wards may reduce effect.	The first cut of the tide is a whisper before the wave.	Apprentice: Touch, 1 damage. | Novice: Range upgrades to Short (30 ft) and damage becomes 2. | Master: Adds Control container + Pull (10 ft) option on hit. | High Master: May add lightning charge for +2 lightning damage on hit. | Grand Master: Extendable lash (Line up to 60 ft) that can strike up to 3 targets sequentially; each hit 3 water + 2 lightning, choose Pull 10 ft on each.
Ripple Shot	Water	Apprentice	9	5	Short (30 ft)	Single Target	Instantaneous	Deals 1 point of water/impact damage.	I. Target (1 Mana) → Damage (3 Mana)	Range: Short (4 Mana); Duration: Instantaneous (1 Mana)	--	Extinguishes small flames; dampens terrain; light armor may reduce impact.	A ripple carries farther than you think.	--
Soothing Stream	Water	Apprentice	5	3	Touch	Single Target	Instantaneous	Heals 1 point of vitality.	I. Target (1 Mana) → Healing (3 Mana)	Range: Touch (2 Mana); Duration: Instantaneous (1 Mana)	Concentration (-2 Mana)	Heals only minor wounds; concentration required; water lingers after use.	A stream soothes more than thirst.	--
Tide Push	Water	Novice	11	6	--	Cone (30 ft)	Instantaneous	Shoves all targets in cone 10 ft backward.	I. AoE (2 Mana), II. Control (2 Mana) → Push (3 Mana)	Shape: Cone (30 ft) (3 Mana); Duration: Instantaneous (1 Mana)	--	Extinguishes flames, drenches terrain, creates slippery footing.	The tide rolls forward, and all must yield.	--
Charged Grasp	Water	Novice	15	8	Touch	Single Target	Instantaneous	Deals 2 lightning damage.	I. Target (1 Mana) → Damage (6 Mana)	Range: Touch (2 Mana); Duration: Instantaneous (1 Mana)	Component Requirement (-2 Mana)	Requires conductive medium; may arc to nearby surfaces; melee risk.	Water carries more than life — it carries the storm.	--
Bubble Veil	Water	Novice	11	6	Self	Single Target	Combat Round	Buff: +15% damage resistance; halves fire damage.	I. Target (1 Mana) → Buff (6 Mana)	Range: Self (1 Mana); Duration: Combat Round (5 Mana)	Concentration (-2 Mana)	Reduces physical/elemental damage; fire damage halved; breaks if concentration lost.	Every bubble is a shield, every ripple a ward.	--
Riptide Grasp	Water	Master	21	11	Medium (60 ft)	Single Target	Combat Round	Deals 2 water damage and Restrains target.	I. Target (1 Mana) → Damage (6 Mana), II. Control (2 Mana) → Grapple/Restrain (4 Mana)	Range: Medium (5 Mana); Duration: Combat Round (5 Mana)	Concentration (-2 Mana)	Restrains for 1 round; deals damage on impact; creates slick terrain near target.	Water is the softest element — until it decides to hold you down.	--
Stormcall Surge	Water 	Master	33	17	Long (120 ft)	Sphere (20 ft radius)	Combat Round	3 lightning damage per target each round; Spatial Bubble slows movement and disrupts ranged actions.	I. AoE (2 Mana) → Damage (9 Mana), II. Temporal/Spatial (5 Mana) → Spatial Bubble (8 Mana)	Shape: Sphere (20 ft) (5 Mana); Range: Long (7 Mana); Duration: Combat Round (5 Mana)	Environmental Dependency (-3 Mana), Backlash Risk (-5 Mana)	Backlash possible; requires storm conditions; movement halved and ranged actions impaired.	The storm does not strike — it *inhabits*.	--
Tide Wall	Water	Master	31	16	Short (30 ft)	Wall (30 ft)	Combat Round	Creates 30 ft wall of water; anchors projectiles; halves fire damage; collapses into slick terrain.	I. AoE (2 Mana) → Create/Destroy (major, 12 Mana), II. Control (2 Mana) → Anchor/Lock (6 Mana), + Buff (4 Mana, fire resistance)	Shape: Wall (30 ft) (4 Mana); Range: Short (4 Mana); Duration: Combat Round (5 Mana)	Concentration (-2 Mana), Component Requirement (-2 Mana)	Anchors projectiles, halves fire damage, collapses to terrain hazard after 1 round.	The sea rises not just to shield, but to fight for you.	--
Maelstrom Vortex	Water	High Master	51	26	Long (120 ft)	Sphere (30 ft radius)	Combat Round	Deals 4 water damage per round; pulls targets 10 ft inward; immobilizes at center; movement halved inside.	I. AoE (2 Mana) → Damage (12 Mana), II. Control (2 Mana) → Pull (3 Mana) + Immobilize (6 Mana), III. Temporal/Spatial (5 Mana) → Spatial Bubble (8 Mana)	Shape: Sphere (30 ft) (8 Mana); Range: Long (7 Mana); Duration: Combat Round (5 Mana)	Backlash Risk (-5 Mana), Concentration (-2 Mana)	Allies also at risk; caster may be dragged in; battlefield heavily disrupted.	The tide does not just rise — it devours.	--
Tempest Crown	Water 	High Master	53	27	--	Sphere (15 ft radius)	Combat Round	Enemies take 3 lightning damage per round; allies inside gain +10% defense; enemies suffer –10% attack rolls; chance to freeze enemy actions for 1 step.	I. Target (Self, 1 Mana) → Buff (4 Mana), II. AoE (2 Mana) → Damage (9 Mana) + Debuff (4 Mana), III. Temporal/Spatial (5 Mana) → Temporal Stasis (6 Mana)	Shape: Sphere (15 ft) (5 Mana); Duration: Combat Round (5 Mana)	Backlash Risk (-5 Mana), Environmental Dependency (-3 Mana), Progressive Spell (+3 Mana)	May stun caster if overload occurs; requires storm conditions; combines offense and defense.	Within the crown of storms, even kings bow.	Apprentice: Spark Shield (minor lightning aura). | Novice: Expands to 5 ft aura, 1 lightning dmg. | Master: Full 10 ft storm aura, adds debuff. | High Master: Full build as written. | Grand Master: Aura expands to 30 ft, allies gain lightning retaliation, enemies risk paralysis each round.
Leviathan’s Awakening	Water	Grand Master	107	54	Line of Sight	Sphere (60 ft radius)	2 Combat Rounds	6 water damage per round; mass knockdown; immobilize + restrain; spatial distortion; random temporal freezes; central target banished to watery void.	I. AoE (2 Mana) → Damage (18 Mana) + Knockdown (4 Mana), II. Control (2 Mana) → Immobilize (6 Mana) + Grapple/Restrain (4 Mana), III. Temporal/Spatial (5 Mana) → Spatial Bubble (8 Mana) + Temporal Stasis (6 Mana), IV. Target (1 Mana, Nested inside AoE) → Banish (10 Mana)	Shape: Sphere (60 ft) (11 Mana); Range: Line of Sight (10 Mana); Duration: 2 Combat Rounds (10 Mana)	Backlash Risk (-5 Mana), Concentration (-2 Mana), Environmental Dependency (-3 Mana)	Requires massive water source or storm; caster risks drowning backlash; battlefield devastation is total.	When the Leviathan rises, even gods hold their breath.	--
